customer_id,name,city,state,zip,country,lat,long
1,Customer 1,Bridgeton,NJ,08302,USA,39.438881,-75.228175
2,Customer 2,Jacksonville,FL,32209,USA,30.355851,-81.694137
3,Customer 3,Mount Crawford,VA,22841,USA,38.350903,-78.955919
4,Customer 4,City of Industry,CA,91748,USA,33.979568,-117.898437
5,Customer 5,Dallas,TX,75236,USA,32.688333,-96.938424
6,Customer 6,Arlington,TX,76010,USA,32.722794,-97.084692
7,Customer 7,Elma,NY,14059,USA,42.831055,-78.639808
8,Customer 8,Boise,ID,83705,USA,43.580123,-116.219041
9,Customer 9,Lathrop,CA,95330,USA,37.818495,-121.286548
10,Customer 10,Newport,MN,55055,USA,44.872086,-92.997031
11,Customer 11,Bangor,ME,04401,USA,44.814135,-68.778574
12,Customer 12,Reno,NV,89505,USA,39.529321,-119.804953
13,Customer 13,Roxbury,NY,12474,USA,42.287672,-74.561318
14,Customer 14,Denver,CO,80204,USA,39.736603,-105.02123
15,Customer 15,Portland,OR,97230,USA,45.5414,-122.498239
16,Customer 16,Sulphur Springs,TX,75482,USA,33.128095,-95.598595
17,Customer 17,Sulphur Springs,TX,75482,USA,33.128095,-95.598595
18,Customer 18,Lubbock,TX,79415,USA,33.605722,-101.873513
19,Customer 19,Rochester,IN,46975,USA,41.061041,-86.208192
20,Customer 20,Woodbury,MN,55125,USA,44.90532,-92.92326
21,Customer 21,Franklin,MA,02038,USA,42.093298,-71.404394
22,Customer 22,Tulare,CA,93274,USA,36.208357,-119.341083
23,Customer 23,Mountville,PA,17554,USA,40.043724,-76.425577
24,Customer 24,West Seneca,NY,14224,USA,42.841518,-78.761265
25,Customer 25,City of Industry,CA,91746,USA,34.049002,-117.979948
26,Customer 26,Vernon,CA,90058,USA,34.0023,-118.21152
27,Customer 27,Melrose Park,IL,60163,USA,41.88402,-87.908634
28,Customer 28,Jacksonville,FL,32254,USA,30.338709,-81.727618
29,Customer 29,DENVER,PA,17517,USA,40.241302,-76.137348
30,Customer 30,AMARILLO,TX,79118,USA,35.06543,-101.852052
31,Customer 31,PITTSBURGH,PA,15233,USA,40.457777,-80.026332
32,Customer 32,AURORA,CO,80011,USA,39.74165,-104.791421
33,Customer 33,BREA,CA,92821,USA,33.929135,-117.884454
34,Customer 34,FORT WORTH,TX,76140,USA,32.612498,-97.271398
35,Customer 35,NORTH SALT LAKE,UT,84054,USA,40.837299,-111.919323
36,Customer 36,PLANT CITY,FL,33563,USA,28.014481,-82.136482
37,Customer 37,PORTLAND,OR,97230,USA,45.5414,-122.498239
38,Customer 38,ROSEVILLE,CA,95678,USA,38.765901,-121.289424
39,Customer 39,CITY OF INDUSTRY,CA,91744,USA,34.028223,-117.937998
40,Customer 40,OGDEN,UT,84404,USA,41.276379,-111.987441
41,Customer 41,OKLAHOMA CITY,OK,73179,USA,35.425455,-97.641765
42,Customer 42,PEMBROKE,NH,03275,USA,43.17324,-71.40372
43,Customer 43,POMPANO BEACH,FL,33069,USA,26.233635,-80.156758
44,Customer 44,CHANDLER,AZ,85226,USA,33.306009,-111.919281
45,Customer 45,HAYWARD,CA,94545,USA,37.63362,-122.101731
46,Customer 46,BURLINGTON,NJ,08016,USA,40.07026,-74.841534
47,Customer 47,CHESHIRE,CT,06410,USA,41.504235,-72.906403
48,Customer 48,LUFKIN,TX,75904,USA,31.282943,-94.807267
49,Customer 49,TYLER,TX,75701,USA,32.326456,-95.294488
50,Customer 50,LANCASTER,NY,14086,USA,42.905877,-78.627625
